step,idx,total_files,correct_files,accuracy,python_count,google_count,wikipedia_count,base_generator_count,total_tool_uses
0,28,1,1,1.0,9,1,0,0,10
3,7,1,1,1.0,24,0,0,0,24
3,10,1,1,1.0,29,1,0,0,30
7,7,1,1,1.0,22,0,0,8,30
7,16,1,1,1.0,35,5,0,0,40
7,28,1,1,1.0,19,1,0,0,20
9,7,1,1,1.0,34,1,0,5,40
9,18,1,1,1.0,12,8,0,0,20
12,7,1,1,1.0,39,1,0,0,40
12,29,1,1,1.0,9,0,0,0,9
14,15,1,1,1.0,7,3,0,0,10
14,16,1,1,1.0,8,2,0,0,10
14,29,1,1,1.0,20,0,0,0,20
16,10,1,1,1.0,20,10,0,0,30
16,23,1,1,1.0,23,17,0,0,40
18,0,1,1,1.0,6,4,0,0,10
18,8,1,1,1.0,6,4,0,0,10
18,9,1,1,1.0,6,4,0,0,10
18,11,1,1,1.0,8,2,0,0,10
18,29,1,1,1.0,8,12,0,0,20
20,1,1,1,1.0,6,4,0,0,10
20,7,1,1,1.0,9,11,0,0,20
20,11,1,1,1.0,6,4,0,0,10
20,15,1,1,1.0,8,2,0,0,10
20,18,1,1,1.0,8,12,0,0,20
20,26,1,1,1.0,9,1,0,0,10
22,13,1,1,1.0,4,4,0,2,10
22,21,1,1,1.0,6,4,0,0,10
22,23,1,1,1.0,4,4,0,2,10
22,26,1,1,1.0,6,4,0,0,10
24,9,1,1,1.0,4,4,0,2,10
24,10,1,1,1.0,4,4,0,2,10
24,18,1,1,1.0,6,4,0,0,10
24,22,1,1,1.0,20,20,0,0,40
24,27,1,1,1.0,4,4,0,2,10
26,20,1,1,1.0,4,6,0,0,10
26,21,1,1,1.0,4,4,0,2,10
26,24,1,1,1.0,7,33,0,0,40
26,27,1,1,1.0,4,6,0,0,10
26,28,1,1,1.0,4,6,0,0,10
28,1,1,1,1.0,4,4,0,2,10
28,7,1,1,1.0,4,6,0,0,10
28,15,1,1,1.0,4,4,0,2,10
28,20,1,1,1.0,4,16,0,0,20
28,22,1,1,1.0,4,4,0,2,10
28,24,1,1,1.0,4,6,0,0,10
30,0,1,1,1.0,8,9,0,3,20
30,8,1,1,1.0,4,6,0,0,10
30,9,1,1,1.0,4,6,0,0,10
30,10,1,1,1.0,4,6,0,0,10
30,13,1,1,1.0,2,8,0,0,10
30,20,1,1,1.0,2,8,0,0,10
30,21,1,1,1.0,2,4,0,0,6
30,22,1,1,1.0,4,4,0,2,10
32,1,1,1,1.0,4,6,0,0,10
32,2,1,1,1.0,4,6,0,0,10
32,3,1,1,1.0,4,6,0,0,10
32,9,1,1,1.0,2,4,0,0,6
32,10,1,1,1.0,2,4,0,0,6
32,11,1,1,1.0,4,6,0,0,10
32,12,1,1,1.0,4,6,0,0,10
32,13,1,1,1.0,2,4,0,0,6
32,15,1,1,1.0,2,4,0,0,6
32,21,1,1,1.0,4,6,0,0,10
32,27,1,1,1.0,4,6,0,0,10
32,29,1,1,1.0,4,6,0,0,10
34,1,1,1,1.0,4,6,0,0,10
34,7,1,1,1.0,4,16,0,0,20
34,20,1,1,1.0,2,4,0,0,6
34,21,1,1,1.0,2,8,0,0,10
34,23,1,1,1.0,2,8,0,0,10
34,25,1,1,1.0,4,6,0,0,10
34,27,1,1,1.0,2,8,0,0,10
34,28,1,1,1.0,2,4,0,0,6
36,3,1,1,1.0,4,6,0,0,10
36,21,1,1,1.0,2,8,0,0,10
36,22,1,1,1.0,2,8,0,0,10
36,29,1,1,1.0,4,6,0,0,10
37,4,1,1,1.0,4,6,0,0,10
38,0,1,1,1.0,2,4,0,0,6
38,2,1,1,1.0,6,4,0,0,10
38,8,1,1,1.0,6,4,0,0,10
38,15,1,1,1.0,4,6,0,0,10
38,18,1,1,1.0,2,8,0,0,10
38,22,1,1,1.0,6,4,0,0,10
38,28,1,1,1.0,2,4,0,0,6
